State,City,year,SO2,NO2,PM2.5
Andhra Pradesh,Visakhapatnam,2011,12.756498082098883,13.937976936620965,63.72962517042123
Andhra Pradesh,Visakhapatnam,2012,12.756498082098883,13.937976936620965,63.72962517042123
Andhra Pradesh,Visakhapatnam,2013,13.341878134818026,17.99005157455898,67.87646963691576
Andhra Pradesh,Visakhapatnam,2014,13.083951687471105,20.22231211794319,63.46583448913546
Andhra Pradesh,Visakhapatnam,2015,15.184297265047638,30.74960089640075,52.83211665292174
Andhra Pradesh,Visakhapatnam,2016,21.607336956521753,42.58309782608697,44.87480978260869
Andhra Pradesh,Visakhapatnam,2017,9.540287671232878,19.24383561643836,39.97731506849315
Andhra Pradesh,Visakhapatnam,2018,11.093328767123289,38.669808219178044,50.72273972602743
Andhra Pradesh,Visakhapatnam,2019,12.898041095890406,37.400027397260246,47.00112328767126
Andhra Pradesh,Visakhapatnam,2020,8.167431693989071,30.813005464480888,31.767267759562856
Assam,Guwahati,2011,6.129850831277267,14.080631922659292,92.13348849604192
Assam,Guwahati,2012,6.129850831277267,14.080631922659292,92.13348849604192
Assam,Guwahati,2013,7.026168144373479,15.665962208250372,141.46048548790384
Assam,Guwahati,2014,6.832945858703591,13.801230138477855,87.83376224246452
Assam,Guwahati,2015,10.941863588739357,13.711089017045115,77.71266673333842
Assam,Guwahati,2016,14.705391849529773,13.058338557993732,57.80338557993731
Assam,Guwahati,2017,14.705391849529773,13.058338557993732,57.80338557993731
Assam,Guwahati,2018,14.705391849529773,13.058338557993732,57.80338557993731
Assam,Guwahati,2019,14.705391849529773,13.058338557993732,57.80338557993731
Assam,Guwahati,2020,14.58945355191257,14.435136612021866,74.53021857923501
Bihar,Patna,2011,4.322072072072072,36.516666666666666,162.64144144144143
Bihar,Patna,2012,7.385866224689074,36.596666666666664,166.7563475177305
Bihar,Patna,2013,7.385866224689074,36.596666666666664,166.7563475177305
Bihar,Patna,2014,7.385866224689074,36.596666666666664,166.7563475177305
Bihar,Patna,2015,6.588011967484724,36.435456580996885,148.08891412101474
Bihar,Patna,2016,5.708521174863389,36.15662568306011,126.84620047814207
Bihar,Patna,2017,6.544285958904109,41.197176369863016,125.09354880136985
Bihar,Patna,2018,13.490217465753425,41.81480308219178,123.37032962328769
Bihar,Patna,2019,14.470070205479452,40.869166095890414,119.70566523972602
Bihar,Patna,2020,7.350379846115687,37.373443139076535,56.509526703770355
Chandigarh,Chandigarh,2011,2.013179451090781,15.854622218622008,100.51056897479904
Chandigarh,Chandigarh,2012,2.004489795918367,19.899173218217904,107.19435184990346
Chandigarh,Chandigarh,2013,2.004054054054054,23.248493743571277,101.58931629409396
Chandigarh,Chandigarh,2014,2.0,21.270204682030602,91.12062879415056
Chandigarh,Chandigarh,2015,6.0403305785124,18.1494439419174,73.077198026303
Chandigarh,Chandigarh,2016,10.0806611570248,10.864876033057854,60.68099173553722
Chandigarh,Chandigarh,2017,10.0806611570248,10.864876033057854,60.68099173553722
Chandigarh,Chandigarh,2018,10.0806611570248,10.864876033057854,60.68099173553722
Chandigarh,Chandigarh,2019,10.0806611570248,10.864876033057854,60.68099173553722
Chandigarh,Chandigarh,2020,10.21142076502732,12.315136612021863,27.69661202185793
Delhi,Delhi,2011,7.823042280326211,50.856588872613564,180.47214572600623
Delhi,Delhi,2012,7.934732095141026,52.30219072446542,183.2314049852655
Delhi,Delhi,2013,6.4152594935998355,46.01681810103541,180.89395812752772
Delhi,Delhi,2014,6.7644241569406045,44.64259975400326,175.5059471852235
Delhi,Delhi,2015,10.054811693900522,45.754856820418496,152.99503250613145
Delhi,Delhi,2016,13.309524278244325,43.28070319394607,121.36958187026546
Delhi,Delhi,2017,13.959884542351958,46.54168595333336,121.04973992555405
Delhi,Delhi,2018,13.497754336343393,46.74489931276587,112.13755520280407
Delhi,Delhi,2019,14.097084471186005,45.34445710165826,105.62371937015808
Delhi,Delhi,2020,14.191562844073946,33.03644017831464,78.73446448975783
Gujarat,Ahmedabad,2011,13.343613783576663,25.23383097326558,79.06326574070006
Gujarat,Ahmedabad,2012,12.14861853832442,23.789661319073087,82.53721033868092
Gujarat,Ahmedabad,2013,12.558927218587144,17.66749905442653,83.75347816744464
Gujarat,Ahmedabad,2014,13.444762267339572,19.73061850113785,84.43422738428698
Gujarat,Ahmedabad,2015,22.01879076859879,21.7572703235076,86.67673793909776
Gujarat,Ahmedabad,2016,22.04286502015674,22.098092705090544,81.82252742216163
Gujarat,Ahmedabad,2017,70.6362688404399,32.074143507621045,105.5634956486704
Gujarat,Ahmedabad,2018,70.177794520548,85.02294520547942,74.71908219178084
Gujarat,Ahmedabad,2019,73.66798630136994,90.83999999999997,61.96363013698636
Gujarat,Ahmedabad,2020,33.672240437158464,31.0848087431694,43.537486338797805
Karnataka,Bengaluru,2011,15.561965137925625,29.456516293665683,94.24862889433447
Karnataka,Bengaluru,2012,14.016949354612105,28.52911995518574,118.25090829164098
Karnataka,Bengaluru,2013,13.354902183365011,27.743571502180714,117.37200101198054
Karnataka,Bengaluru,2014,12.63295270584537,29.58409761385347,139.106014714262
Karnataka,Bengaluru,2015,6.384047251442166,26.807269235554887,78.7150287882449
Karnataka,Bengaluru,2016,6.006314785020342,32.356823249792356,33.4118828257276
Karnataka,Bengaluru,2017,5.778560385784535,33.1094812342513,31.02320225399393
Karnataka,Bengaluru,2018,8.556086478304554,32.62654813246556,31.043606688895164
Karnataka,Bengaluru,2019,5.42468493150685,28.804990410958897,32.96059882936042
Karnataka,Bengaluru,2020,6.676983606557378,22.16713934426229,28.785535935997633
Kerala,Kochi,2011,3.2917522067602762,12.763178501329977,38.39215492073798
Kerala,Kochi,2012,3.2199472127273343,9.927800219952601,65.99206868202663
Kerala,Kochi,2013,2.2801558937305515,6.059813661883262,75.6259170564974
Kerala,Kochi,2014,2.4051456156607935,8.597099669127832,67.70922132259228
Kerala,Kochi,2015,2.4526466201978994,11.391182197820214,41.0005908669171
Kerala,Kochi,2016,5.481314827022517,12.018970449614196,39.08617639723739
Kerala,Kochi,2017,8.509983033847137,12.646758701408178,37.171761927557675
Kerala,Kochi,2018,11.538651240671754,13.27454695320216,35.257347457877955
Kerala,Kochi,2019,14.567319447496374,13.902335204996142,33.34293298819824
Kerala,Kochi,2020,17.595987654320993,14.530123456790124,31.42851851851853
Kerala,Thiruvananthapuram,2011,10.329326923076923,23.22596153846154,57.49759615384615
Kerala,Thiruvananthapuram,2012,9.074995637224408,21.535383708272853,54.3778414195867
Kerala,Thiruvananthapuram,2013,9.373495301219819,22.384808159073927,53.60862139478645
Kerala,Thiruvananthapuram,2014,9.143384622940697,22.451235698315138,51.32323503409952
Kerala,Thiruvananthapuram,2015,6.970959659408152,16.17897496742974,39.67179159687326
Kerala,Thiruvananthapuram,2016,3.809974874371861,6.904246231155775,24.60052763819096
Kerala,Thiruvananthapuram,2017,3.809974874371861,6.904246231155775,24.60052763819096
Kerala,Thiruvananthapuram,2018,6.962287671232875,10.105561643835618,32.751273972602725
Kerala,Thiruvananthapuram,2019,4.678561643835618,6.982890410958902,24.894876712328756
Kerala,Thiruvananthapuram,2020,5.833446818891493,14.142068403590942,25.42331986729117
Madhya Pradesh,Bhopal,2011,3.3524904214559386,16.537890703770923,174.51204006176246
Madhya Pradesh,Bhopal,2012,2.813706591733989,20.91794614213792,173.07052335792062
Madhya Pradesh,Bhopal,2013,2.490840182648402,27.144535768645355,221.78152207001526
Madhya Pradesh,Bhopal,2014,2.055843573988735,21.191859534636723,159.56421001429433
Madhya Pradesh,Bhopal,2015,7.912391950308518,33.696970095307286,112.11912249088243
Madhya Pradesh,Bhopal,2016,12.529056603773583,44.74905660377359,67.28849056603774
Madhya Pradesh,Bhopal,2017,12.529056603773583,44.74905660377359,67.28849056603774
Madhya Pradesh,Bhopal,2018,12.529056603773583,44.74905660377359,67.28849056603774
Madhya Pradesh,Bhopal,2019,12.529056603773583,44.74905660377359,67.28849056603774
Madhya Pradesh,Bhopal,2020,13.35278688524591,22.64524590163935,38.88786885245905
Maharashtra,Mumbai,2011,5.372434420661904,34.492316341496725,119.51348209392773
Maharashtra,Mumbai,2012,4.871808586506918,20.822058722536543,118.5476684786341
Maharashtra,Mumbai,2013,3.0047964113181505,13.081009891879456,117.95702783528871
Maharashtra,Mumbai,2014,4.014875685477705,19.595704703851784,95.94969249087852
Maharashtra,Mumbai,2015,16.75339203562857,21.21781583134232,65.94934156523999
Maharashtra,Mumbai,2016,29.35341822097348,20.187564518641466,33.2533167959013
Maharashtra,Mumbai,2017,28.53032372364355,20.187564518641466,33.2533167959013
Maharashtra,Mumbai,2018,13.389536005974588,21.699846710422282,33.87994556302458
Maharashtra,Mumbai,2019,11.54431137165836,21.87356725836749,33.74536885069581
Maharashtra,Mumbai,2020,10.851931693989068,22.34776502732241,36.23725409836066
Meghalaya,Shillong,2011,2.9186862244897958,10.094919217687075,72.33854166666667
Meghalaya,Shillong,2012,2.3483146067415728,10.679947694691977,64.72369882474493
Meghalaya,Shillong,2013,2.4299999999999997,10.96490099009901,64.6920297029703
Meghalaya,Shillong,2014,2.0,10.678104575163399,63.065032679738565
Meghalaya,Shillong,2015,3.7593307086614183,8.002549640534063,44.13609034644326
Meghalaya,Shillong,2016,5.5186614173228365,2.93988188976378,28.767598425196837
Meghalaya,Shillong,2017,5.5186614173228365,2.93988188976378,28.767598425196837
Meghalaya,Shillong,2018,5.5186614173228365,2.93988188976378,28.767598425196837
Meghalaya,Shillong,2019,5.5186614173228365,2.93988188976378,28.767598425196837
Meghalaya,Shillong,2020,7.303005464480875,2.6559289617486335,26.768879781420765
Mizoram,Aizawl,2011,2.0,5.15988475177305,45.806028369460996
Mizoram,Aizawl,2012,2.0,6.0574468085106385,55.12907801485106
Mizoram,Aizawl,2013,2.137267344735978,9.296601633535591,48.46307905686547
Mizoram,Aizawl,2014,2.0641025641019235,7.607692307692308,42.620512820403846
Mizoram,Aizawl,2015,2.0018691588785047,8.444556431087495,44.19260192966075
Mizoram,Aizawl,2016,3.077105946571831,6.833344259914243,38.723798357887894
Mizoram,Aizawl,2017,4.152342734265158,5.2221320887409926,33.25499478611504
Mizoram,Aizawl,2018,5.227579521958484,3.6109199175677418,27.786191214342182
Mizoram,Aizawl,2019,6.302816309651812,1.9997077463944901,22.317387642569326
Mizoram,Aizawl,2020,7.378053097345139,0.38849557522123906,16.84858407079647
Odisha,Talcher,2011,7.82431315843834,18.939268746126835,115.88535426564759
Odisha,Talcher,2012,7.82431315843834,18.939268746126835,115.88535426564759
Odisha,Talcher,2013,8.438095238095237,21.371428571428574,110.13333333333333
Odisha,Talcher,2014,9.310679611650485,23.71844660194175,124.0873786407767
Odisha,Talcher,2015,24.155192307692307,12.33826923076923,129.4876923076923
Odisha,Talcher,2016,38.32,0.08999999999999998,123.60999999999997
Odisha,Talcher,2017,38.32,0.08999999999999998,123.60999999999997
Odisha,Talcher,2018,33.099438356164406,16.86398630136987,74.73754794520548
Odisha,Talcher,2019,27.24612328767123,10.057712328767128,49.67312328767122
Odisha,Talcher,2020,24.091721311475403,12.720792349726771,63.68480874316948
Punjab,Amritsar,2011,14.297933467741935,36.26038306451614,210.35181451612902
Punjab,Amritsar,2012,14.558506944444446,37.4733630952381,209.34771825396825
Punjab,Amritsar,2013,12.837824962569755,39.62151218184293,180.22114468490543
Punjab,Amritsar,2014,13.411593707250343,40.41843365253078,190.36337209302326
Punjab,Amritsar,2015,8.804460859414217,25.413453322175336,111.44359522318477
Punjab,Amritsar,2016,6.444464285714284,20.981087662337657,75.07090909090908
Punjab,Amritsar,2017,6.444464285714284,20.981087662337657,75.07090909090908
Punjab,Amritsar,2018,5.222109589041095,22.416602739726013,49.01304109589043
Punjab,Amritsar,2019,13.082808219178101,15.813739726027393,50.655876712328755
Punjab,Amritsar,2020,10.257677595628417,14.470874316939888,36.79811475409839
Rajasthan,Jaipur,2011,6.8244559898122645,36.677630838286476,147.27443933155615
Rajasthan,Jaipur,2012,9.141801788313444,51.721242612391315,186.1905192914478
Rajasthan,Jaipur,2013,7.474191583594991,40.25213762883532,160.57712040102447
Rajasthan,Jaipur,2014,7.054240035560923,42.687446753567656,150.6684223249636
Rajasthan,Jaipur,2015,8.19574168001825,36.96211133228077,126.42762714989671
Rajasthan,Jaipur,2016,9.306553333874106,38.0192321995097,82.36524148280336
Rajasthan,Jaipur,2017,9.306553333874106,38.0192321995097,82.36524148280336
Rajasthan,Jaipur,2018,10.892242009132424,34.61391780821916,62.687808219178045
Rajasthan,Jaipur,2019,12.134013698630136,33.58204566210045,49.413963470319636
Rajasthan,Jaipur,2020,12.134426229508193,28.406448087431684,40.90983606557378
Tamil Nadu,Chennai,2011,13.061802523937057,22.085029346747326,79.76649469292923
Tamil Nadu,Chennai,2012,12.267833684549753,22.931552814785675,75.08806995599768
Tamil Nadu,Chennai,2013,12.162888605611315,21.267933129084387,68.68132212189894
Tamil Nadu,Chennai,2014,12.606896058799489,22.070536205567212,56.75811961931345
Tamil Nadu,Chennai,2015,12.012609413568972,18.62301197432985,57.16178208407079
Tamil Nadu,Chennai,2016,5.280884207679261,14.936320130562068,44.980798344355584
Tamil Nadu,Chennai,2017,7.914869083420752,17.448243994464622,40.59685647846392
Tamil Nadu,Chennai,2018,9.037923626642433,17.017759697372107,51.338157848755955
Tamil Nadu,Chennai,2019,8.33323869513559,16.007074765865244,43.544452369303876
Tamil Nadu,Chennai,2020,8.766024590163935,11.250997267759562,29.055833333333325
Tamil Nadu,Coimbatore,2011,4.263487943900315,32.93117897757073,85.71004749355264
Tamil Nadu,Coimbatore,2012,3.4673211486124216,27.07752375975332,68.12264410253626
Tamil Nadu,Coimbatore,2013,4.188118042613657,24.535395729054354,55.74830144270934
Tamil Nadu,Coimbatore,2014,4.555059410099915,25.394215905425995,49.130067239727225
Tamil Nadu,Coimbatore,2015,6.760367678500589,20.204676888798996,38.19641813527016
Tamil Nadu,Coimbatore,2016,9.532857142857141,15.473251231527094,29.55881773399013
Tamil Nadu,Coimbatore,2017,9.532857142857141,15.473251231527094,29.55881773399013
Tamil Nadu,Coimbatore,2018,9.532857142857141,15.473251231527094,29.55881773399013
Tamil Nadu,Coimbatore,2019,9.532857142857141,15.473251231527094,29.55881773399013
Tamil Nadu,Coimbatore,2020,7.540245901639344,43.664508196721286,28.445491803278706
Telangana,Hyderabad,2011,4.879269170014542,28.562488918995086,87.06774166469891
Telangana,Hyderabad,2012,4.888850371725555,27.689523389465858,90.60038604227427
Telangana,Hyderabad,2013,5.218253331485044,22.252464084021554,92.7874300292211
Telangana,Hyderabad,2014,5.043708854420737,23.60689284725273,96.07025051957879
Telangana,Hyderabad,2015,9.517379702735763,23.530520141510063,69.82808477349079
Telangana,Hyderabad,2016,14.940636659592002,23.967465929708922,40.22499585186623
Telangana,Hyderabad,2017,12.73984394459687,23.552642219208735,37.8305784848099
Telangana,Hyderabad,2018,8.871630136986301,37.489732305936066,43.24171689497715
Telangana,Hyderabad,2019,6.941518264840184,29.638369863013683,41.7327305936073
Telangana,Hyderabad,2020,6.621179417122043,27.664458105646627,36.394116575591994
Uttar Pradesh,Lucknow,2011,8.137195552520199,32.91396028942766,188.70119007202112
Uttar Pradesh,Lucknow,2012,7.969995478595479,31.714249254449253,211.72176123136123
Uttar Pradesh,Lucknow,2013,7.528043220445161,29.393906410262893,191.7115337457729
Uttar Pradesh,Lucknow,2014,7.7002335296282665,28.256037480063792,175.31628401423137
Uttar Pradesh,Lucknow,2015,12.413167165528465,31.536169135517305,170.6699617818158
Uttar Pradesh,Lucknow,2016,11.363600800491458,43.11605665260272,156.1265503235795
Uttar Pradesh,Lucknow,2017,11.102039099266314,43.3847737746428,155.5539084541781
Uttar Pradesh,Lucknow,2018,10.806827005870842,37.88369199711607,110.49610511896185
Uttar Pradesh,Lucknow,2019,8.34685714285715,34.29096322999274,93.24135991348228
Uttar Pradesh,Lucknow,2020,7.659021857923496,27.225415300546455,67.11660109289618
West Bengal,Kolkata,2011,12.875679875679875,65.8262432012432,114.63529526029525
West Bengal,Kolkata,2012,37.3578581716843,56.621932982555535,105.79816177292987
West Bengal,Kolkata,2013,10.471095884162256,67.56328472060767,181.58793794019599
West Bengal,Kolkata,2014,8.31825987810253,66.05980770769857,121.15659630283416
West Bengal,Kolkata,2015,7.951113702652709,46.70943472369392,87.97632446725149
West Bengal,Kolkata,2016,9.008383225228846,37.96221394913022,73.34343345514667
West Bengal,Kolkata,2017,9.008383225228846,37.96221394913022,73.34343345514667
West Bengal,Kolkata,2018,9.008383225228846,37.96221394913022,73.34343345514667
West Bengal,Kolkata,2019,7.850324814770216,34.55486343487982,57.1831247062686
West Bengal,Kolkata,2020,10.565967993754876,29.109925839188143,47.203173302107714
